time,x,y,z,v_x_g,v_y_g,v_x_bl,v_y_bl,psi_rad,psi_deg,psi_rate,psi_rate_deg
0.0,-3.0,-1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.01,-3.0,-0.99,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.02,-3.0,-0.98,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.03,-3.0,-0.97,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.04,-3.0,-0.96,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.05,-3.0,-0.95,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.06,-3.0,-0.94,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.07,-3.0,-0.93,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.08,-3.0,-0.92,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.09,-3.0,-0.91,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.1,-3.0,-0.9,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.11,-3.0,-0.89,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.12,-3.0,-0.88,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.13,-3.0,-0.87,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.14,-3.0,-0.86,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.15,-3.0,-0.85,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.16,-3.0,-0.84,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.17,-3.0,-0.83,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.18,-3.0,-0.82,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.19,-3.0,-0.81,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.2,-3.0,-0.8,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.21,-3.0,-0.79,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.22,-3.0,-0.78,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.23,-3.0,-0.77,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.24,-3.0,-0.76,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.25,-3.0,-0.75,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.26,-3.0,-0.74,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.27,-3.0,-0.73,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.28,-3.0,-0.72,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.29,-3.0,-0.71,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.3,-3.0,-0.7,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.31,-3.0,-0.69,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.32,-3.0,-0.68,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.33,-3.0,-0.67,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.34,-3.0,-0.66,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.35000000000000003,-3.0,-0.65,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.36,-3.0,-0.64,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.37,-3.0,-0.63,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.38,-3.0,-0.62,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
