x,y,z,yaw,state
-3.5,1.0,1.0,-90,0
0.0,1.0,1.0,0.0,1
3.5,1.0,1.0,0.0,-1
3.5,0.711111111111111,1.0,-90.0,0
0.0,0.711111111111111,1.0,180.0,1
-3.5,0.711111111111111,1.0,180.0,-1
-3.5,0.42222222222222217,1.0,-90.0,0
0.0,0.42222222222222217,1.0,0.0,1
3.5,0.42222222222222217,1.0,0.0,-1
3.5,0.1333333333333333,1.0,-90.0,0
0.0,0.1333333333333333,1.0,180.0,1
-3.5,0.1333333333333333,1.0,180.0,-1
-3.5,-0.15555555555555567,1.0,-90.0,0
0.0,-0.15555555555555567,1.0,0.0,1
3.5,-0.15555555555555567,1.0,0.0,-1
3.5,-0.44444444444444464,1.0,-90.0,0
0.0,-0.44444444444444464,1.0,180.0,1
-3.5,-0.44444444444444464,1.0,180.0,-1
-3.5,-0.7333333333333334,1.0,-90.0,0
0.0,-0.7333333333333334,1.0,0.0,1
3.5,-0.7333333333333334,1.0,0.0,-1
3.5,-1.0222222222222226,1.0,-90.0,0
0.0,-1.0222222222222226,1.0,180.0,1
-3.5,-1.0222222222222226,1.0,180.0,-1
-3.5,-1.3111111111111113,1.0,-90.0,0
0.0,-1.3111111111111113,1.0,0.0,1
3.5,-1.3111111111111113,1.0,0.0,-1
3.5,-1.6,1.0,-90.0,0
0.0,-1.6,1.0,180.0,1
-3.5,-1.6,1.0,180.0,-1
