x,y,z,yaw
4.0,1.0,1.2,0.0
3.94,1.05,1.2,113.58580332625587
3.81,1.12,1.2,176.71181397287944
3.44,1.16,1.2,-171.30594352205907
3.12,1.14,1.2,-177.283113923055
3.02,1.16,1.2,166.37305425493554
2.6,1.05,1.2,-160.8051525565785
2.15,0.89,1.2,-177.78701625112393
1.92,0.86,1.2,-143.4135792385704
1.58,0.7,1.2,-170.35591798065414
1.28,0.57,1.2,179.35683869887833
1.01,0.57,1.2,-169.63572002027104
0.9,0.51,1.2,154.34746673924712
0.72,0.49,1.2,145.64304813555194
0.65,0.56,1.2,171.77805467720668
0.51,0.48,1.2,-123.91599637593235
0.25,0.37,1.2,-178.3600312799896
0.06,0.28,1.2,-104.07895203588748
0.03,0.15,1.2,-50.46547844121185
0.07,0.11,1.2,-167.38425814210004
0.01,0.11,1.2,0.1239322266236792
0.06,0.11,1.2,-111.02612216277711
