x,y,z,yaw
4.29,1.0,1.2,0.0
4.2,1.02,1.2,-112.2962073790772
4.13,0.91,1.2,-135.73179351775926
4.05,0.92,1.2,128.47629829135826
4.01,0.97,1.2,73.24947278840062
3.94,1.08,1.2,-171.724256290115
3.73,1.05,1.2,-120.51621053034361
3.5,1.08,1.2,96.24672376587264
3.19,1.11,1.2,-149.1213411683522
2.94,1.09,1.2,-102.40655732946298
3.02,1.08,1.2,114.47248645748094
3.05,1.02,1.2,-48.5241305049829
3.03,0.98,1.2,-101.60409559238978
2.89,1.03,1.2,129.57673426203138
2.81,1.15,1.2,146.78665671757417
2.63,1.21,1.2,136.0083518424169
2.67,1.18,1.2,-47.89515897084948
2.55,1.18,1.2,163.45101208935108
2.38,1.24,1.2,131.46167092698056
2.1,1.26,1.2,169.21506037944462
1.93,1.3,1.2,-115.05150022791705
1.79,1.34,1.2,143.8850245737494
1.57,1.41,1.2,56.64001562201773
1.66,1.32,1.2,-20.037543765926273
1.79,1.27,1.2,-128.9638083008517
1.75,1.13,1.2,173.8804162472651
1.5,1.08,1.2,-169.12829258732137
1.29,1.02,1.2,162.71556574668298
1.14,1.07,1.2,151.052205420652
0.99,1.02,1.2,-114.46909969062702
0.96,0.94,1.2,-37.677722846821304
1.09,0.9,1.2,-72.11739314650619
1.13,0.84,1.2,-32.313659805326665
1.27,0.9,1.2,64.35936724820553
1.18,0.89,1.2,-67.6035197617415
1.27,0.84,1.2,-19.89088469976739
1.37,0.84,1.2,-166.33656057217226
1.36,0.87,1.2,133.93241016210897
1.16,0.86,1.2,-174.96917230575434
1.0,0.95,1.2,161.8799787507939
0.75,0.93,1.2,-63.72077529650972
0.9,0.91,1.2,64.4308999844599
0.82,1.14,1.2,70.01715330429018
0.9,1.26,1.2,83.91545014077617
0.86,1.36,1.2,83.60439321923464
0.94,1.43,1.2,74.21866616955667
0.84,1.46,1.2,32.40826445456446
1.07,1.56,1.2,-13.451503336600382
1.33,1.5,1.2,15.992240449913318
1.43,1.54,1.2,157.83025222342303
1.41,1.42,1.2,-50.88462902516564
1.23,1.37,1.2,150.2051335899421
1.27,1.41,1.2,-71.4115954582277
1.44,1.29,1.2,-29.309603619091558
1.36,1.16,1.2,-172.58430521200864
1.34,1.08,1.2,26.92520096662002
1.38,1.1,1.2,-64.57475520999269
1.37,1.13,1.2,142.401663985837
1.14,1.14,1.2,123.02119740344202
1.02,1.2,1.2,-166.56950731122865
0.94,1.19,1.2,174.09583132185418
0.68,1.14,1.2,-60.269389245990006
0.83,1.12,1.2,24.771030561215692
0.81,1.25,1.2,97.26838883279352
0.92,1.33,1.2,-138.4535778688704
0.89,1.25,1.2,-16.95746613121309
0.57,1.27,1.2,140.696090078361
0.56,1.26,1.2,26.471772025513566
0.65,1.28,1.2,-71.85306969776595
0.65,1.18,1.2,-96.526124983083
0.37,1.09,1.2,-151.23370570088545
0.53,1.08,1.2,-1.743519617732477
0.59,1.04,1.2,-71.21188102103582
0.49,1.0,1.2,122.58226050138123
0.52,1.05,1.2,5.847394749733057
0.48,1.09,1.2,152.8165365095044
0.36,1.13,1.2,-164.02352108794395
0.34,1.07,1.2,-67.26231183198534
0.26,0.97,1.2,-155.76790175799115
0.27,0.98,1.2,-42.52343303247589
0.4,0.93,1.2,64.64778968742962
0.42,1.07,1.2,-43.20950933223424
0.53,1.03,1.2,117.52888928039971
0.39,1.02,1.2,-143.18506901600122
0.01,0.96,1.2,6.603077390920713
0.0,1.03,1.2,25.659015111524287
0.01,1.06,1.2,72.50981299592598
0.16,1.1,1.2,177.80253967326448
0.07,1.15,1.2,141.7478527478636
0.13,1.27,1.2,-17.571791467517226
0.37,1.2,1.2,-65.89468198566753
0.41,1.28,1.2,-67.84443493519115
0.33,1.15,1.2,-107.19935536584225
0.22,0.93,1.2,-82.3585818288802
0.28,0.96,1.2,53.8234782873099
0.36,1.01,1.2,-176.276312271946
0.2,0.99,1.2,100.256494197655
0.24,1.0,1.2,-93.47408768148532
0.18,0.98,1.2,90.63030809043728
0.07,0.92,1.2,-138.9154204516227
0.01,0.76,1.2,-53.52231204682458
0.13,0.61,1.2,-64.8261706610874
0.18,0.52,1.2,-169.45265800809918
0.13,0.58,1.2,-39.73906532179951
0.08,0.68,1.2,135.88424626816501
0.02,0.7,1.2,95.64935996377147
0.02,0.55,1.2,-91.14548665629819
0.03,0.51,1.2,-50.234333450175434
0.24,0.49,1.2,-64.04971818530615
0.37,0.4,1.2,-50.49858817397457
0.28,0.33,1.2,-178.76982285041154
0.32,0.28,1.2,-37.42616546180354
0.26,0.31,1.2,110.80952614719214
0.28,0.23,1.2,-72.2886868190022
0.0,0.0,1.2,-72.2886868190022
