time,x,y,z,v_x_g,v_y_g,v_x_bl,v_y_bl,psi_rad,psi_deg,psi_rate,psi_rate_deg
0.0,-3.0,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,-3.0,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02,-3.0,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.03,-3.0,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04,-3.0,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,-3.0,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.06,-3.0,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.07,-3.0,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.08,-3.0,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.09,-3.0,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,-3.0,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.11,-3.0,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.12,-3.0,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.13,-3.0,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.14,-3.0,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.15,-3.0,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.16,-3.0,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.17,-3.0,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.18,-3.0,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.19,-3.0,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,-3.0,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.21,-3.0,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.22,-3.0,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.23,-3.0,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.24,-3.0,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,-3.0,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.26,-3.0,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.27,-3.0,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.28,-3.0,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.29,-3.0,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3,-3.0,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.31,-3.0,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.32,-3.0,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.33,-3.0,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.34,-3.0,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.35000000000000003,-3.0,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.36,-3.0,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.37,-3.0,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.38,-3.0,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.39,-3.0,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4,-3.0,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.41000000000000003,-3.0,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.42,-3.0,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.43,-3.0,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.44,-3.0,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.45,-3.0,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.46,-3.0,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.47000000000000003,-3.0,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.48,-3.0,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.49,-3.0,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,-3.0,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.51,-3.0,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.52,-3.0,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.53,-3.0,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.54,-3.0,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.55,-3.0,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.56,-3.0,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5700000000000001,-3.0,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.58,-3.0,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.59,-3.0,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
