time,x,y,z,v_x_g,v_y_g,v_x_bl,v_y_bl,psi_rad,psi_deg,psi_rate,psi_rate_deg
0.0,0.0,0.0,2.0,0.86,0.5,1.0,0.0,0.53,30.26,-0.0,-0.03
0.01,0.01,0.01,2.0,0.86,0.5,1.0,0.0,0.53,30.26,-0.0,-0.06
0.02,0.02,0.01,2.0,0.86,0.5,1.0,0.0,0.53,30.26,-0.0,-0.12
0.03,0.03,0.02,2.0,0.86,0.5,1.0,0.0,0.53,30.25,-0.0,-0.19
0.04,0.03,0.02,2.0,0.86,0.5,1.0,0.0,0.53,30.25,-0.0,-0.25
0.05,0.04,0.03,2.0,0.86,0.5,1.0,0.0,0.53,30.25,-0.01,-0.31
0.06,0.05,0.03,2.0,0.86,0.5,1.0,0.0,0.53,30.25,-0.01,-0.37
0.07,0.06,0.04,2.0,0.86,0.5,1.0,0.0,0.53,30.24,-0.01,-0.44
0.08,0.07,0.04,2.0,0.86,0.5,1.0,0.0,0.53,30.24,-0.01,-0.5
0.09,0.08,0.05,2.0,0.86,0.5,1.0,0.0,0.53,30.23,-0.01,-0.56
0.1,0.09,0.05,2.0,0.86,0.5,1.0,0.0,0.53,30.23,-0.01,-0.62
0.11,0.1,0.06,2.0,0.86,0.5,1.0,0.0,0.53,30.22,-0.01,-0.68
0.12,0.1,0.06,2.0,0.86,0.5,1.0,0.0,0.53,30.21,-0.01,-0.75
0.13,0.11,0.07,2.0,0.86,0.5,1.0,0.0,0.53,30.2,-0.01,-0.81
0.14,0.12,0.07,2.0,0.86,0.5,1.0,0.0,0.53,30.2,-0.02,-0.87
0.15,0.13,0.08,2.0,0.86,0.5,1.0,0.0,0.53,30.19,-0.02,-0.94
0.16,0.14,0.08,2.0,0.86,0.5,1.0,0.0,0.53,30.18,-0.02,-1.0
0.17,0.15,0.09,2.0,0.86,0.5,1.0,0.0,0.53,30.17,-0.02,-1.06
0.18,0.16,0.09,2.0,0.86,0.5,1.0,0.0,0.53,30.16,-0.02,-1.12
0.19,0.16,0.1,2.0,0.86,0.5,1.0,0.0,0.53,30.14,-0.02,-1.19
0.2,0.17,0.1,2.0,0.86,0.5,1.0,0.0,0.53,30.13,-0.02,-1.25
0.21,0.18,0.11,2.0,0.86,0.5,1.0,0.0,0.53,30.12,-0.02,-1.31
0.22,0.19,0.11,2.0,0.87,0.5,1.0,0.0,0.53,30.11,-0.02,-1.38
0.23,0.2,0.12,2.0,0.87,0.5,1.0,0.0,0.53,30.09,-0.03,-1.44
0.24,0.21,0.12,2.0,0.87,0.5,1.0,0.0,0.52,30.08,-0.03,-1.51
0.25,0.22,0.13,2.0,0.87,0.5,1.0,0.0,0.52,30.06,-0.03,-1.57
0.26,0.22,0.13,2.0,0.87,0.5,1.0,0.0,0.52,30.05,-0.03,-1.63
0.27,0.23,0.14,2.0,0.87,0.5,1.0,0.0,0.52,30.03,-0.03,-1.7
0.28,0.24,0.14,2.0,0.87,0.5,1.0,0.0,0.52,30.01,-0.03,-1.76
0.29,0.25,0.15,2.0,0.87,0.5,1.0,0.0,0.52,29.99,-0.03,-1.83
0.3,0.26,0.15,2.0,0.87,0.5,1.0,0.0,0.52,29.97,-0.03,-1.9
0.31,0.27,0.16,2.0,0.87,0.5,1.0,0.0,0.52,29.96,-0.03,-1.96
0.32,0.28,0.16,2.0,0.87,0.5,1.0,0.0,0.52,29.94,-0.04,-2.03
0.33,0.29,0.17,2.0,0.87,0.5,1.0,0.0,0.52,29.91,-0.04,-2.09
0.34,0.29,0.17,2.0,0.87,0.5,1.0,0.0,0.52,29.89,-0.04,-2.15
0.35000000000000003,0.3,0.18,2.0,0.87,0.5,1.0,0.0,0.52,29.87,-0.04,-2.23
0.36,0.31,0.18,2.0,0.87,0.5,1.0,0.0,0.52,29.85,-0.04,-2.29
0.37,0.32,0.19,2.0,0.87,0.5,1.0,0.0,0.52,29.83,-0.04,-2.35
0.38,0.33,0.19,2.0,0.87,0.5,1.0,0.0,0.52,29.8,-0.04,-2.42
0.39,0.34,0.2,2.0,0.87,0.5,1.0,0.0,0.52,29.78,-0.04,-2.49
0.4,0.35,0.2,2.0,0.87,0.5,1.0,0.0,0.52,29.75,-0.04,-2.56
0.41000000000000003,0.35,0.21,2.0,0.87,0.5,1.0,0.0,0.52,29.73,-0.05,-2.62
0.42,0.36,0.21,2.0,0.87,0.5,1.0,0.0,0.52,29.7,-0.05,-2.69
0.43,0.37,0.22,2.0,0.87,0.5,1.0,0.0,0.52,29.67,-0.05,-2.76
0.44,0.38,0.22,2.0,0.87,0.49,1.0,0.0,0.52,29.64,-0.05,-2.83
0.45,0.39,0.23,2.0,0.87,0.49,1.0,0.0,0.52,29.62,-0.05,-2.89
0.46,0.4,0.23,2.0,0.87,0.49,1.0,0.0,0.52,29.59,-0.05,-2.97
0.47000000000000003,0.41,0.24,2.0,0.87,0.49,1.0,0.0,0.52,29.56,-0.05,-3.03
0.48,0.42,0.24,2.0,0.87,0.49,1.0,0.0,0.52,29.53,-0.05,-3.1
0.49,0.42,0.25,2.0,0.87,0.49,1.0,0.0,0.51,29.49,-0.06,-3.18
0.5,0.43,0.25,2.0,0.87,0.49,1.0,0.0,0.51,29.46,-0.06,-3.25
