time,x,y,z,v_x_g,v_y_g,v_x_bl,v_y_bl,psi_rad,psi_deg,psi_rate,psi_rate_deg
0.0,0.0,0.0,2.0,0.86,0.5,1.0,0.0,0.53,30.26,-0.0,-0.01
0.01,0.01,0.01,2.0,0.86,0.5,1.0,0.0,0.53,30.26,-0.0,-0.03
0.02,0.02,0.01,2.0,0.86,0.5,1.0,0.0,0.53,30.26,-0.0,-0.06
0.03,0.03,0.02,2.0,0.86,0.5,1.0,0.0,0.53,30.26,-0.0,-0.08
0.04,0.03,0.02,2.0,0.86,0.5,1.0,0.0,0.53,30.25,-0.0,-0.11
0.05,0.04,0.03,2.0,0.86,0.5,1.0,0.0,0.53,30.25,-0.0,-0.14
0.06,0.05,0.03,2.0,0.86,0.5,1.0,0.0,0.53,30.25,-0.0,-0.17
0.07,0.06,0.04,2.0,0.86,0.5,1.0,0.0,0.53,30.25,-0.0,-0.19
0.08,0.07,0.04,2.0,0.86,0.5,1.0,0.0,0.53,30.25,-0.0,-0.22
0.09,0.08,0.05,2.0,0.86,0.5,1.0,0.0,0.53,30.25,-0.0,-0.25
0.1,0.09,0.05,2.0,0.86,0.5,1.0,0.0,0.53,30.24,-0.0,-0.28
0.11,0.1,0.06,2.0,0.86,0.5,1.0,0.0,0.53,30.24,-0.01,-0.3
0.12,0.1,0.06,2.0,0.86,0.5,1.0,0.0,0.53,30.24,-0.01,-0.33
0.13,0.11,0.07,2.0,0.86,0.5,1.0,0.0,0.53,30.23,-0.01,-0.36
0.14,0.12,0.07,2.0,0.86,0.5,1.0,0.0,0.53,30.23,-0.01,-0.39
0.15,0.13,0.08,2.0,0.86,0.5,1.0,0.0,0.53,30.23,-0.01,-0.41
0.16,0.14,0.08,2.0,0.86,0.5,1.0,0.0,0.53,30.22,-0.01,-0.44
0.17,0.15,0.09,2.0,0.86,0.5,1.0,0.0,0.53,30.22,-0.01,-0.47
0.18,0.16,0.09,2.0,0.86,0.5,1.0,0.0,0.53,30.21,-0.01,-0.5
0.19,0.16,0.1,2.0,0.86,0.5,1.0,0.0,0.53,30.21,-0.01,-0.53
0.2,0.17,0.1,2.0,0.86,0.5,1.0,0.0,0.53,30.2,-0.01,-0.55
0.21,0.18,0.11,2.0,0.86,0.5,1.0,0.0,0.53,30.2,-0.01,-0.58
0.22,0.19,0.11,2.0,0.86,0.5,1.0,0.0,0.53,30.19,-0.01,-0.61
0.23,0.2,0.12,2.0,0.86,0.5,1.0,0.0,0.53,30.18,-0.01,-0.64
0.24,0.21,0.12,2.0,0.86,0.5,1.0,0.0,0.53,30.18,-0.01,-0.66
0.25,0.22,0.13,2.0,0.86,0.5,1.0,0.0,0.53,30.17,-0.01,-0.69
0.26,0.22,0.13,2.0,0.86,0.5,1.0,0.0,0.53,30.16,-0.01,-0.72
0.27,0.23,0.14,2.0,0.86,0.5,1.0,0.0,0.53,30.16,-0.01,-0.75
0.28,0.24,0.14,2.0,0.86,0.5,1.0,0.0,0.53,30.15,-0.01,-0.78
0.29,0.25,0.15,2.0,0.86,0.5,1.0,0.0,0.53,30.14,-0.01,-0.8
0.3,0.26,0.15,2.0,0.86,0.5,1.0,0.0,0.53,30.13,-0.01,-0.83
0.31,0.27,0.16,2.0,0.86,0.5,1.0,0.0,0.53,30.12,-0.02,-0.86
0.32,0.28,0.16,2.0,0.87,0.5,1.0,0.0,0.53,30.11,-0.02,-0.89
0.33,0.29,0.17,2.0,0.87,0.5,1.0,0.0,0.53,30.11,-0.02,-0.92
0.34,0.29,0.17,2.0,0.87,0.5,1.0,0.0,0.53,30.1,-0.02,-0.95
0.35000000000000003,0.3,0.18,2.0,0.87,0.5,1.0,0.0,0.53,30.09,-0.02,-0.98
0.36,0.31,0.18,2.0,0.87,0.5,1.0,0.0,0.52,30.08,-0.02,-1.0
0.37,0.32,0.19,2.0,0.87,0.5,1.0,0.0,0.52,30.07,-0.02,-1.03
0.38,0.33,0.19,2.0,0.87,0.5,1.0,0.0,0.52,30.06,-0.02,-1.06
0.39,0.34,0.2,2.0,0.87,0.5,1.0,0.0,0.52,30.05,-0.02,-1.09
0.4,0.35,0.2,2.0,0.87,0.5,1.0,0.0,0.52,30.03,-0.02,-1.12
0.41000000000000003,0.35,0.21,2.0,0.87,0.5,1.0,0.0,0.52,30.02,-0.02,-1.15
0.42,0.36,0.21,2.0,0.87,0.5,1.0,0.0,0.52,30.01,-0.02,-1.17
0.43,0.37,0.22,2.0,0.87,0.5,1.0,0.0,0.52,30.0,-0.02,-1.2
0.44,0.38,0.22,2.0,0.87,0.5,1.0,0.0,0.52,29.99,-0.02,-1.23
0.45,0.39,0.23,2.0,0.87,0.5,1.0,0.0,0.52,29.97,-0.02,-1.26
0.46,0.4,0.23,2.0,0.87,0.5,1.0,0.0,0.52,29.96,-0.02,-1.29
0.47000000000000003,0.41,0.24,2.0,0.87,0.5,1.0,0.0,0.52,29.95,-0.02,-1.32
0.48,0.42,0.24,2.0,0.87,0.5,1.0,0.0,0.52,29.94,-0.02,-1.35
0.49,0.42,0.25,2.0,0.87,0.5,1.0,0.0,0.52,29.92,-0.02,-1.38
0.5,0.43,0.25,2.0,0.87,0.5,1.0,0.0,0.52,29.91,-0.02,-1.41
0.51,0.44,0.26,2.0,0.87,0.5,1.0,0.0,0.52,29.89,-0.03,-1.43
0.52,0.45,0.26,2.0,0.87,0.5,1.0,0.0,0.52,29.88,-0.03,-1.46
0.53,0.46,0.27,2.0,0.87,0.5,1.0,0.0,0.52,29.86,-0.03,-1.49
0.54,0.47,0.27,2.0,0.87,0.5,1.0,0.0,0.52,29.85,-0.03,-1.52
0.55,0.48,0.28,2.0,0.87,0.5,1.0,0.0,0.52,29.83,-0.03,-1.55
0.56,0.48,0.28,2.0,0.87,0.5,1.0,0.0,0.52,29.82,-0.03,-1.58
0.5700000000000001,0.49,0.29,2.0,0.87,0.5,1.0,0.0,0.52,29.8,-0.03,-1.61
0.58,0.5,0.29,2.0,0.87,0.5,1.0,0.0,0.52,29.79,-0.03,-1.64
