time,x,y,z,v_x_g,v_y_g,v_x_bl,v_y_bl,psi_rad,psi_deg,psi_rate,psi_rate_deg
0.0,-2.0,-0.75,2.0,0.0,1.0,1.0,0.0,1.57,90.0,0.0,0.0
0.01,-2.0,-0.74,2.0,0.0,1.0,1.0,0.0,1.57,90.0,0.0,0.0
0.02,-2.0,-0.73,2.0,0.0,1.0,1.0,0.0,1.57,90.0,0.0,0.0
0.03,-2.0,-0.72,2.0,0.0,1.0,1.0,0.0,1.57,90.0,0.0,0.0
0.04,-2.0,-0.71,2.0,0.0,1.0,1.0,0.0,1.57,90.0,0.0,0.0
0.05,-2.0,-0.7,2.0,0.0,1.0,1.0,0.0,1.57,90.0,0.0,0.0
0.06,-2.0,-0.69,2.0,0.0,1.0,1.0,0.0,1.57,90.0,0.0,0.0
0.07,-2.0,-0.68,2.0,0.0,1.0,1.0,0.0,1.57,90.0,0.0,0.0
0.08,-2.0,-0.67,2.0,0.0,1.0,1.0,0.0,1.57,90.0,0.0,0.0
0.09,-2.0,-0.66,2.0,0.0,1.0,1.0,0.0,1.57,90.0,0.0,0.0
0.1,-2.0,-0.65,2.0,0.0,1.0,1.0,0.0,1.57,90.0,0.0,0.0
0.11,-2.0,-0.64,2.0,0.0,1.0,1.0,0.0,1.57,90.0,0.0,0.0
0.12,-2.0,-0.63,2.0,0.0,1.0,1.0,0.0,1.57,90.0,0.0,0.0
0.13,-2.0,-0.62,2.0,0.0,1.0,1.0,0.0,1.57,90.0,0.0,0.0
0.14,-2.0,-0.61,2.0,0.0,1.0,1.0,0.0,1.57,90.0,0.0,0.0
0.15,-2.0,-0.6,2.0,0.0,1.0,1.0,0.0,1.57,90.0,0.0,0.0
0.16,-2.0,-0.59,2.0,0.0,1.0,1.0,0.0,1.57,90.0,0.0,0.0
0.17,-2.0,-0.58,2.0,0.0,1.0,1.0,0.0,1.57,90.0,0.0,0.0
0.18,-2.0,-0.57,2.0,0.0,1.0,1.0,0.0,1.57,90.0,0.0,0.0
0.19,-2.0,-0.56,2.0,0.0,1.0,1.0,0.0,1.57,90.0,0.0,0.0
0.2,-2.0,-0.55,2.0,0.0,1.0,1.0,0.0,1.57,90.0,0.0,0.0
0.21,-2.0,-0.54,2.0,0.0,1.0,1.0,0.0,1.57,90.0,0.0,0.0
