x,y,z,yaw
0.86,0.5,2.0,30.26
0.86,0.5,2.0,30.26
0.86,0.5,2.0,30.26
0.86,0.5,2.0,30.25
0.86,0.5,2.0,30.25
0.86,0.5,2.0,30.25
0.86,0.5,2.0,30.25
0.86,0.5,2.0,30.24
0.86,0.5,2.0,30.24
0.86,0.5,2.0,30.23
0.86,0.5,2.0,30.23
0.86,0.5,2.0,30.22
0.86,0.5,2.0,30.21
0.86,0.5,2.0,30.2
0.86,0.5,2.0,30.2
0.86,0.5,2.0,30.19
0.86,0.5,2.0,30.18
0.86,0.5,2.0,30.17
0.86,0.5,2.0,30.16
0.86,0.5,2.0,30.14
0.86,0.5,2.0,30.13
0.86,0.5,2.0,30.12
0.87,0.5,2.0,30.11
0.87,0.5,2.0,30.09
0.87,0.5,2.0,30.08
0.87,0.5,2.0,30.06
0.87,0.5,2.0,30.05
0.87,0.5,2.0,30.03
0.87,0.5,2.0,30.01
0.87,0.5,2.0,29.99
0.87,0.5,2.0,29.97
0.87,0.5,2.0,29.96
0.87,0.5,2.0,29.94
0.87,0.5,2.0,29.91
0.87,0.5,2.0,29.89
0.87,0.5,2.0,29.87
0.87,0.5,2.0,29.85
0.87,0.5,2.0,29.83
0.87,0.5,2.0,29.8
0.87,0.5,2.0,29.78
0.87,0.5,2.0,29.75
0.87,0.5,2.0,29.73
0.87,0.5,2.0,29.7
0.87,0.5,2.0,29.67
0.87,0.49,2.0,29.64
0.87,0.49,2.0,29.62
0.87,0.49,2.0,29.59
0.87,0.49,2.0,29.56
0.87,0.49,2.0,29.53
0.87,0.49,2.0,29.49
0.87,0.49,2.0,29.46
0.87,0.49,2.0,29.43
0.87,0.49,2.0,29.4
0.87,0.49,2.0,29.36
0.87,0.49,2.0,29.33
0.87,0.49,2.0,29.29
0.87,0.49,2.0,29.25
0.87,0.49,2.0,29.22
0.87,0.49,2.0,29.18
0.87,0.49,2.0,29.14
0.87,0.49,2.0,29.1
0.87,0.49,2.0,29.06
0.87,0.49,2.0,29.02
0.87,0.48,2.0,28.98
0.88,0.48,2.0,28.94
0.88,0.48,2.0,28.89
0.88,0.48,2.0,28.85
0.88,0.48,2.0,28.8
0.88,0.48,2.0,28.76
0.88,0.48,2.0,28.71
0.88,0.48,2.0,28.67
0.88,0.48,2.0,28.62
0.88,0.48,2.0,28.57
0.88,0.48,2.0,28.52
0.88,0.48,2.0,28.47
0.88,0.48,2.0,28.42
0.88,0.48,2.0,28.37
0.88,0.47,2.0,28.31
0.88,0.47,2.0,28.26
0.88,0.47,2.0,28.21
0.88,0.47,2.0,28.15
0.88,0.47,2.0,28.09
0.88,0.47,2.0,28.04
0.88,0.47,2.0,27.98
0.88,0.47,2.0,27.92
0.88,0.47,2.0,27.86
0.88,0.47,2.0,27.8
0.89,0.47,2.0,27.74
0.89,0.46,2.0,27.68
0.89,0.46,2.0,27.61
0.89,0.46,2.0,27.55
0.89,0.46,2.0,27.48
0.89,0.46,2.0,27.42
0.89,0.46,2.0,27.35
0.89,0.46,2.0,27.28
0.89,0.46,2.0,27.21
0.89,0.46,2.0,27.14
0.89,0.46,2.0,27.07
0.89,0.45,2.0,27.0
0.89,0.45,2.0,26.93
0.89,0.45,2.0,26.85
0.89,0.45,2.0,26.78
0.89,0.45,2.0,26.7
0.89,0.45,2.0,26.62
0.89,0.45,2.0,26.55
0.9,0.45,2.0,26.47
0.9,0.44,2.0,26.39
0.9,0.44,2.0,26.3
0.9,0.44,2.0,26.22
0.9,0.44,2.0,26.14
0.9,0.44,2.0,26.05
0.9,0.44,2.0,25.97
0.9,0.44,2.0,25.88
0.9,0.44,2.0,25.79
0.9,0.43,2.0,25.7
0.9,0.43,2.0,25.61
0.9,0.43,2.0,25.52
0.9,0.43,2.0,25.43
0.9,0.43,2.0,25.33
0.9,0.43,2.0,25.24
0.91,0.42,2.0,25.14
0.91,0.42,2.0,25.04
0.91,0.42,2.0,24.94
0.91,0.42,2.0,24.84
0.91,0.42,2.0,24.74
0.91,0.42,2.0,24.64
0.91,0.42,2.0,24.53
0.91,0.41,2.0,24.43
0.91,0.41,2.0,24.32
0.91,0.41,2.0,24.21
0.91,0.41,2.0,24.1
0.91,0.41,2.0,23.99
0.91,0.4,2.0,23.87
0.92,0.4,2.0,23.76
0.92,0.4,2.0,23.64
0.92,0.4,2.0,23.53
0.92,0.4,2.0,23.41
0.92,0.4,2.0,23.29
0.92,0.39,2.0,23.16
0.92,0.39,2.0,23.04
0.92,0.39,2.0,22.91
0.92,0.39,2.0,22.79
0.92,0.39,2.0,22.66
0.92,0.38,2.0,22.53
0.92,0.38,2.0,22.4
0.93,0.38,2.0,22.26
0.93,0.38,2.0,22.13
0.93,0.37,2.0,21.99
0.93,0.37,2.0,21.85
0.93,0.37,2.0,21.71
0.93,0.37,2.0,21.57
0.93,0.37,2.0,21.42
