x,y,z,yaw
0.86,0.5,2.0,30.26
0.86,0.5,2.0,30.26
0.86,0.5,2.0,30.26
0.86,0.5,2.0,30.26
0.86,0.5,2.0,30.25
0.86,0.5,2.0,30.25
0.86,0.5,2.0,30.25
0.86,0.5,2.0,30.25
0.86,0.5,2.0,30.25
0.86,0.5,2.0,30.25
0.86,0.5,2.0,30.24
0.86,0.5,2.0,30.24
0.86,0.5,2.0,30.24
0.86,0.5,2.0,30.23
0.86,0.5,2.0,30.23
0.86,0.5,2.0,30.23
0.86,0.5,2.0,30.22
0.86,0.5,2.0,30.22
0.86,0.5,2.0,30.21
0.86,0.5,2.0,30.21
0.86,0.5,2.0,30.2
0.86,0.5,2.0,30.2
0.86,0.5,2.0,30.19
0.86,0.5,2.0,30.18
0.86,0.5,2.0,30.18
0.86,0.5,2.0,30.17
0.86,0.5,2.0,30.16
0.86,0.5,2.0,30.16
0.86,0.5,2.0,30.15
0.86,0.5,2.0,30.14
0.86,0.5,2.0,30.13
0.86,0.5,2.0,30.12
0.87,0.5,2.0,30.11
0.87,0.5,2.0,30.11
0.87,0.5,2.0,30.1
0.87,0.5,2.0,30.09
0.87,0.5,2.0,30.08
0.87,0.5,2.0,30.07
0.87,0.5,2.0,30.06
0.87,0.5,2.0,30.05
0.87,0.5,2.0,30.03
0.87,0.5,2.0,30.02
0.87,0.5,2.0,30.01
0.87,0.5,2.0,30.0
0.87,0.5,2.0,29.99
0.87,0.5,2.0,29.97
0.87,0.5,2.0,29.96
0.87,0.5,2.0,29.95
0.87,0.5,2.0,29.94
0.87,0.5,2.0,29.92
0.87,0.5,2.0,29.91
0.87,0.5,2.0,29.89
0.87,0.5,2.0,29.88
0.87,0.5,2.0,29.86
0.87,0.5,2.0,29.85
0.87,0.5,2.0,29.83
0.87,0.5,2.0,29.82
0.87,0.5,2.0,29.8
0.87,0.5,2.0,29.79
0.87,0.5,2.0,29.77
0.87,0.5,2.0,29.75
0.87,0.5,2.0,29.74
0.87,0.5,2.0,29.72
0.87,0.5,2.0,29.7
0.87,0.5,2.0,29.68
0.87,0.49,2.0,29.66
0.87,0.49,2.0,29.65
0.87,0.49,2.0,29.63
0.87,0.49,2.0,29.61
0.87,0.49,2.0,29.59
0.87,0.49,2.0,29.57
0.87,0.49,2.0,29.55
0.87,0.49,2.0,29.53
0.87,0.49,2.0,29.51
0.87,0.49,2.0,29.48
0.87,0.49,2.0,29.46
0.87,0.49,2.0,29.44
0.87,0.49,2.0,29.42
0.87,0.49,2.0,29.4
0.87,0.49,2.0,29.37
0.87,0.49,2.0,29.35
0.87,0.49,2.0,29.33
0.87,0.49,2.0,29.3
0.87,0.49,2.0,29.28
0.87,0.49,2.0,29.26
0.87,0.49,2.0,29.23
0.87,0.49,2.0,29.21
0.87,0.49,2.0,29.18
0.87,0.49,2.0,29.15
0.87,0.49,2.0,29.13
0.87,0.49,2.0,29.1
0.87,0.49,2.0,29.08
0.87,0.49,2.0,29.05
0.87,0.49,2.0,29.02
0.87,0.48,2.0,28.99
0.87,0.48,2.0,28.97
0.88,0.48,2.0,28.94
0.88,0.48,2.0,28.91
0.88,0.48,2.0,28.88
0.88,0.48,2.0,28.85
0.88,0.48,2.0,28.82
0.88,0.48,2.0,28.79
0.88,0.48,2.0,28.76
0.88,0.48,2.0,28.73
0.88,0.48,2.0,28.7
0.88,0.48,2.0,28.67
0.88,0.48,2.0,28.64
0.88,0.48,2.0,28.6
0.88,0.48,2.0,28.57
0.88,0.48,2.0,28.54
0.88,0.48,2.0,28.51
0.88,0.48,2.0,28.47
0.88,0.48,2.0,28.44
0.88,0.48,2.0,28.4
0.88,0.48,2.0,28.37
0.88,0.47,2.0,28.33
0.88,0.47,2.0,28.3
0.88,0.47,2.0,28.26
0.88,0.47,2.0,28.23
0.88,0.47,2.0,28.19
0.88,0.47,2.0,28.15
0.88,0.47,2.0,28.12
0.88,0.47,2.0,28.08
0.88,0.47,2.0,28.04
0.88,0.47,2.0,28.0
0.88,0.47,2.0,27.96
0.88,0.47,2.0,27.92
0.88,0.47,2.0,27.88
0.88,0.47,2.0,27.84
0.88,0.47,2.0,27.8
0.88,0.47,2.0,27.76
0.89,0.47,2.0,27.72
0.89,0.46,2.0,27.68
0.89,0.46,2.0,27.64
0.89,0.46,2.0,27.59
0.89,0.46,2.0,27.55
0.89,0.46,2.0,27.51
0.89,0.46,2.0,27.46
0.89,0.46,2.0,27.42
0.89,0.46,2.0,27.38
0.89,0.46,2.0,27.33
0.89,0.46,2.0,27.29
0.89,0.46,2.0,27.24
0.89,0.46,2.0,27.19
0.89,0.46,2.0,27.15
0.89,0.46,2.0,27.1
0.89,0.45,2.0,27.05
0.89,0.45,2.0,27.0
0.89,0.45,2.0,26.95
0.89,0.45,2.0,26.91
0.89,0.45,2.0,26.86
0.89,0.45,2.0,26.81
