x,y,z,yaw
0.0,1.0,2.0,90.0
0.0,1.0,2.0,90.0
0.0,1.0,2.0,89.98
0.0,1.0,2.0,89.96
0.0,1.0,2.0,89.94
0.0,1.0,2.0,89.9
0.0,1.0,2.0,89.86
0.0,1.0,2.0,89.8
0.0,1.0,2.0,89.74
0.01,1.0,2.0,89.68
0.01,1.0,2.0,89.6
0.01,1.0,2.0,89.52
0.01,1.0,2.0,89.43
0.01,1.0,2.0,89.33
0.01,1.0,2.0,89.22
0.02,1.0,2.0,89.1
0.02,1.0,2.0,88.98
0.02,1.0,2.0,88.85
0.02,1.0,2.0,88.71
0.03,1.0,2.0,88.56
0.03,1.0,2.0,88.41
0.03,1.0,2.0,88.24
0.03,1.0,2.0,88.07
0.04,1.0,2.0,87.89
0.04,1.0,2.0,87.71
0.04,1.0,2.0,87.51
0.05,1.0,2.0,87.31
0.05,1.0,2.0,87.1
0.05,1.0,2.0,86.88
0.06,1.0,2.0,86.66
0.06,1.0,2.0,86.43
0.07,1.0,2.0,86.19
0.07,1.0,2.0,85.94
0.08,1.0,2.0,85.68
0.08,1.0,2.0,85.42
0.08,1.0,2.0,85.15
0.09,1.0,2.0,84.87
0.09,1.0,2.0,84.58
0.1,1.0,2.0,84.29
0.1,0.99,2.0,83.99
0.11,0.99,2.0,83.68
0.12,0.99,2.0,83.36
0.12,0.99,2.0,83.04
0.13,0.99,2.0,82.71
0.13,0.99,2.0,82.37
0.14,0.99,2.0,82.03
0.14,0.99,2.0,81.67
0.15,0.99,2.0,81.31
0.16,0.99,2.0,80.95
0.16,0.99,2.0,80.57
0.17,0.99,2.0,80.19
0.18,0.98,2.0,79.8
0.18,0.98,2.0,79.41
0.19,0.98,2.0,79.0
0.2,0.98,2.0,78.59
0.2,0.98,2.0,78.18
0.21,0.98,2.0,77.75
0.22,0.98,2.0,77.32
0.23,0.97,2.0,76.88
0.23,0.97,2.0,76.44
0.24,0.97,2.0,75.99
0.25,0.97,2.0,75.53
0.26,0.97,2.0,75.07
0.27,0.96,2.0,74.6
0.27,0.96,2.0,74.12
0.28,0.96,2.0,73.63
0.29,0.96,2.0,73.14
0.3,0.95,2.0,72.64
0.31,0.95,2.0,72.14
0.32,0.95,2.0,71.63
0.32,0.95,2.0,71.11
0.33,0.94,2.0,70.59
0.34,0.94,2.0,70.06
0.35,0.94,2.0,69.53
0.36,0.93,2.0,68.98
0.37,0.93,2.0,68.44
0.38,0.93,2.0,67.88
0.39,0.92,2.0,67.32
0.39,0.92,2.0,66.76
0.4,0.91,2.0,66.18
0.41,0.91,2.0,65.61
0.42,0.91,2.0,65.02
0.43,0.9,2.0,64.43
0.44,0.9,2.0,63.84
0.45,0.89,2.0,63.24
0.46,0.89,2.0,62.63
0.47,0.88,2.0,62.02
0.48,0.88,2.0,61.4
0.49,0.87,2.0,60.78
0.5,0.87,2.0,60.15
0.51,0.86,2.0,59.52
0.52,0.86,2.0,58.88
0.53,0.85,2.0,58.24
0.54,0.84,2.0,57.59
0.55,0.84,2.0,56.93
0.56,0.83,2.0,56.27
0.56,0.83,2.0,55.61
0.57,0.82,2.0,54.94
0.58,0.81,2.0,54.26
0.59,0.8,2.0,53.58
0.6,0.8,2.0,52.9
0.61,0.79,2.0,52.21
0.62,0.78,2.0,51.52
0.63,0.78,2.0,50.82
0.64,0.77,2.0,50.12
0.65,0.76,2.0,49.41
0.66,0.75,2.0,48.7
0.67,0.74,2.0,47.99
0.68,0.73,2.0,47.27
0.69,0.73,2.0,46.54
0.7,0.72,2.0,45.81
0.71,0.71,2.0,45.08
0.72,0.7,2.0,44.35
0.72,0.69,2.0,43.61
0.73,0.68,2.0,42.86
0.74,0.67,2.0,42.11
0.75,0.66,2.0,41.36
0.76,0.65,2.0,40.61
0.77,0.64,2.0,39.85
0.78,0.63,2.0,39.09
0.78,0.62,2.0,38.32
0.79,0.61,2.0,37.55
0.8,0.6,2.0,36.78
0.81,0.59,2.0,36.0
0.82,0.58,2.0,35.22
0.82,0.57,2.0,34.44
0.83,0.55,2.0,33.66
0.84,0.54,2.0,32.87
0.85,0.53,2.0,32.08
0.85,0.52,2.0,31.28
0.86,0.51,2.0,30.49
0.87,0.5,2.0,29.69
0.88,0.48,2.0,28.88
0.88,0.47,2.0,28.08
0.89,0.46,2.0,27.27
0.9,0.45,2.0,26.46
0.9,0.43,2.0,25.65
0.91,0.42,2.0,24.84
0.91,0.41,2.0,24.02
0.92,0.39,2.0,23.2
0.92,0.38,2.0,22.38
0.93,0.37,2.0,21.56
0.94,0.35,2.0,20.74
0.94,0.34,2.0,19.91
0.95,0.33,2.0,19.08
0.95,0.31,2.0,18.25
0.95,0.3,2.0,17.42
0.96,0.29,2.0,16.59
0.96,0.27,2.0,15.75
0.97,0.26,2.0,14.92
0.97,0.24,2.0,14.08
0.97,0.23,2.0,13.24
0.98,0.21,2.0,12.4
0.98,0.2,2.0,11.56
0.98,0.19,2.0,10.72
0.99,0.17,2.0,9.88
0.99,0.16,2.0,9.03
0.99,0.14,2.0,8.19
0.99,0.13,2.0,7.34
0.99,0.11,2.0,6.5
1.0,0.1,2.0,5.65
1.0,0.08,2.0,4.8
1.0,0.07,2.0,3.96
1.0,0.05,2.0,3.11
1.0,0.04,2.0,2.26
1.0,0.02,2.0,1.41
1.0,0.01,2.0,0.57
1.0,-0.0,2.0,-0.28
1.0,-0.02,2.0,-1.13
1.0,-0.03,2.0,-1.98
1.0,-0.05,2.0,-2.83
1.0,-0.06,2.0,-3.67
1.0,-0.08,2.0,-4.52
1.0,-0.09,2.0,-5.37
0.99,-0.11,2.0,-6.22
0.99,-0.12,2.0,-7.06
0.99,-0.14,2.0,-7.91
0.99,-0.15,2.0,-8.75
0.99,-0.17,2.0,-9.6
0.98,-0.18,2.0,-10.44
0.98,-0.2,2.0,-11.28
0.98,-0.21,2.0,-12.12
0.97,-0.22,2.0,-12.96
0.97,-0.24,2.0,-13.8
0.97,-0.25,2.0,-14.64
0.96,-0.27,2.0,-15.47
0.96,-0.28,2.0,-16.31
0.96,-0.29,2.0,-17.14
0.95,-0.31,2.0,-17.97
0.95,-0.32,2.0,-18.8
0.94,-0.34,2.0,-19.63
0.94,-0.35,2.0,-20.46
0.93,-0.36,2.0,-21.28
0.93,-0.38,2.0,-22.11
0.92,-0.39,2.0,-22.93
0.92,-0.4,2.0,-23.75
0.91,-0.42,2.0,-24.57
0.9,-0.43,2.0,-25.38
0.9,-0.44,2.0,-26.19
0.89,-0.45,2.0,-27.0
0.88,-0.47,2.0,-27.81
0.88,-0.48,2.0,-28.62
0.87,-0.49,2.0,-29.42
0.86,-0.5,2.0,-30.22
0.86,-0.52,2.0,-31.02
0.85,-0.53,2.0,-31.81
0.84,-0.54,2.0,-32.6
0.83,-0.55,2.0,-33.39
0.83,-0.56,2.0,-34.18
0.82,-0.57,2.0,-34.96
0.81,-0.58,2.0,-35.74
0.8,-0.6,2.0,-36.52
0.8,-0.61,2.0,-37.29
0.79,-0.62,2.0,-38.06
0.78,-0.63,2.0,-38.83
0.77,-0.64,2.0,-39.59
0.76,-0.65,2.0,-40.35
0.75,-0.66,2.0,-41.11
0.74,-0.67,2.0,-41.86
0.74,-0.68,2.0,-42.61
0.73,-0.69,2.0,-43.36
0.72,-0.7,2.0,-44.1
0.71,-0.71,2.0,-44.84
0.7,-0.71,2.0,-45.57
0.69,-0.72,2.0,-46.3
0.68,-0.73,2.0,-47.02
0.67,-0.74,2.0,-47.75
0.66,-0.75,2.0,-48.46
0.65,-0.76,2.0,-49.18
0.64,-0.76,2.0,-49.88
0.63,-0.77,2.0,-50.59
0.63,-0.78,2.0,-51.29
0.62,-0.79,2.0,-51.98
0.61,-0.8,2.0,-52.67
0.6,-0.8,2.0,-53.36
0.59,-0.81,2.0,-54.04
0.58,-0.82,2.0,-54.71
0.57,-0.82,2.0,-55.38
0.56,-0.83,2.0,-56.05
0.55,-0.84,2.0,-56.71
0.54,-0.84,2.0,-57.37
0.53,-0.85,2.0,-58.02
0.52,-0.85,2.0,-58.67
