x,y,z,yaw
0.0,0.0,2.0,30.26
0.01,0.01,2.0,30.26
0.02,0.01,2.0,30.26
0.03,0.02,2.0,30.25
0.03,0.02,2.0,30.25
0.04,0.03,2.0,30.25
0.05,0.03,2.0,30.25
0.06,0.04,2.0,30.24
0.07,0.04,2.0,30.24
0.08,0.05,2.0,30.23
0.09,0.05,2.0,30.23
0.1,0.06,2.0,30.22
0.1,0.06,2.0,30.21
0.11,0.07,2.0,30.2
0.12,0.07,2.0,30.2
0.13,0.08,2.0,30.19
0.14,0.08,2.0,30.18
0.15,0.09,2.0,30.17
0.16,0.09,2.0,30.16
0.16,0.1,2.0,30.14
0.17,0.1,2.0,30.13
0.18,0.11,2.0,30.12
0.19,0.11,2.0,30.11
0.2,0.12,2.0,30.09
0.21,0.12,2.0,30.08
0.22,0.13,2.0,30.06
0.22,0.13,2.0,30.05
0.23,0.14,2.0,30.03
0.24,0.14,2.0,30.01
0.25,0.15,2.0,29.99
0.26,0.15,2.0,29.97
0.27,0.16,2.0,29.96
0.28,0.16,2.0,29.94
0.29,0.17,2.0,29.91
0.29,0.17,2.0,29.89
0.3,0.18,2.0,29.87
0.31,0.18,2.0,29.85
0.32,0.19,2.0,29.83
0.33,0.19,2.0,29.8
0.34,0.2,2.0,29.78
0.35,0.2,2.0,29.75
0.35,0.21,2.0,29.73
0.36,0.21,2.0,29.7
0.37,0.22,2.0,29.67
0.38,0.22,2.0,29.64
0.39,0.23,2.0,29.62
0.4,0.23,2.0,29.59
0.41,0.24,2.0,29.56
0.42,0.24,2.0,29.53
0.42,0.25,2.0,29.49
0.43,0.25,2.0,29.46
0.44,0.25,2.0,29.43
0.45,0.26,2.0,29.4
0.46,0.26,2.0,29.36
0.47,0.27,2.0,29.33
0.48,0.27,2.0,29.29
0.49,0.28,2.0,29.25
0.49,0.28,2.0,29.22
0.5,0.29,2.0,29.18
0.51,0.29,2.0,29.14
0.52,0.3,2.0,29.1
0.53,0.3,2.0,29.06
0.54,0.31,2.0,29.02
0.55,0.31,2.0,28.98
0.56,0.32,2.0,28.94
0.56,0.32,2.0,28.89
0.57,0.33,2.0,28.85
0.58,0.33,2.0,28.8
0.59,0.34,2.0,28.76
0.6,0.34,2.0,28.71
0.61,0.35,2.0,28.67
0.62,0.35,2.0,28.62
0.63,0.36,2.0,28.57
0.63,0.36,2.0,28.52
0.64,0.37,2.0,28.47
0.65,0.37,2.0,28.42
0.66,0.38,2.0,28.37
0.67,0.38,2.0,28.31
0.68,0.39,2.0,28.26
0.69,0.39,2.0,28.21
0.7,0.39,2.0,28.15
0.7,0.4,2.0,28.09
0.71,0.4,2.0,28.04
0.72,0.41,2.0,27.98
0.73,0.41,2.0,27.92
0.74,0.42,2.0,27.86
0.75,0.42,2.0,27.8
0.76,0.43,2.0,27.74
0.77,0.43,2.0,27.68
0.78,0.44,2.0,27.61
0.78,0.44,2.0,27.55
0.79,0.45,2.0,27.48
0.8,0.45,2.0,27.42
0.81,0.46,2.0,27.35
0.82,0.46,2.0,27.28
0.83,0.46,2.0,27.21
0.84,0.47,2.0,27.14
0.85,0.47,2.0,27.07
0.86,0.48,2.0,27.0
0.86,0.48,2.0,26.93
0.87,0.49,2.0,26.85
0.88,0.49,2.0,26.78
0.89,0.5,2.0,26.7
0.9,0.5,2.0,26.62
0.91,0.51,2.0,26.55
0.92,0.51,2.0,26.47
0.93,0.51,2.0,26.39
0.94,0.52,2.0,26.3
0.94,0.52,2.0,26.22
0.95,0.53,2.0,26.14
0.96,0.53,2.0,26.05
0.97,0.54,2.0,25.97
0.98,0.54,2.0,25.88
0.99,0.54,2.0,25.79
1.0,0.55,2.0,25.7
1.01,0.55,2.0,25.61
1.02,0.56,2.0,25.52
1.03,0.56,2.0,25.43
1.03,0.57,2.0,25.33
1.04,0.57,2.0,25.24
1.05,0.57,2.0,25.14
1.06,0.58,2.0,25.04
1.07,0.58,2.0,24.94
1.08,0.59,2.0,24.84
1.09,0.59,2.0,24.74
1.1,0.6,2.0,24.64
1.11,0.6,2.0,24.53
1.12,0.6,2.0,24.43
1.13,0.61,2.0,24.32
1.13,0.61,2.0,24.21
1.14,0.62,2.0,24.1
1.15,0.62,2.0,23.99
1.16,0.62,2.0,23.87
1.17,0.63,2.0,23.76
1.18,0.63,2.0,23.64
1.19,0.64,2.0,23.53
1.2,0.64,2.0,23.41
1.21,0.64,2.0,23.29
1.22,0.65,2.0,23.16
1.23,0.65,2.0,23.04
1.24,0.66,2.0,22.91
1.24,0.66,2.0,22.79
1.25,0.66,2.0,22.66
1.26,0.67,2.0,22.53
1.27,0.67,2.0,22.4
1.28,0.68,2.0,22.26
1.29,0.68,2.0,22.13
1.3,0.68,2.0,21.99
1.31,0.69,2.0,21.85
1.32,0.69,2.0,21.71
1.33,0.69,2.0,21.57
1.34,0.7,2.0,21.42
1.35,0.7,2.0,21.27
1.36,0.71,2.0,21.13
1.37,0.71,2.0,20.97
1.37,0.71,2.0,20.82
1.38,0.72,2.0,20.67
1.39,0.72,2.0,20.51
1.4,0.72,2.0,20.35
1.41,0.73,2.0,20.19
1.42,0.73,2.0,20.03
1.43,0.73,2.0,19.86
1.44,0.74,2.0,19.7
1.45,0.74,2.0,19.53
1.46,0.74,2.0,19.36
1.47,0.75,2.0,19.18
1.48,0.75,2.0,19.01
1.49,0.75,2.0,18.83
1.5,0.76,2.0,18.65
1.51,0.76,2.0,18.46
1.52,0.76,2.0,18.28
1.53,0.77,2.0,18.09
1.53,0.77,2.0,17.9
1.54,0.77,2.0,17.7
1.55,0.78,2.0,17.51
1.56,0.78,2.0,17.31
1.57,0.78,2.0,17.11
1.58,0.78,2.0,16.9
1.59,0.79,2.0,16.7
1.6,0.79,2.0,16.49
1.61,0.79,2.0,16.27
1.62,0.8,2.0,16.06
1.63,0.8,2.0,15.84
1.64,0.8,2.0,15.62
1.65,0.8,2.0,15.39
1.66,0.81,2.0,15.17
1.67,0.81,2.0,14.93
1.68,0.81,2.0,14.7
1.69,0.81,2.0,14.46
1.7,0.82,2.0,14.22
1.71,0.82,2.0,13.98
1.72,0.82,2.0,13.73
1.73,0.82,2.0,13.48
1.74,0.83,2.0,13.22
1.75,0.83,2.0,12.97
1.76,0.83,2.0,12.7
1.77,0.83,2.0,12.44
1.78,0.83,2.0,12.17
1.79,0.84,2.0,11.9
1.8,0.84,2.0,11.62
1.81,0.84,2.0,11.34
1.82,0.84,2.0,11.05
1.83,0.84,2.0,10.76
1.83,0.85,2.0,10.47
1.84,0.85,2.0,10.17
1.85,0.85,2.0,9.87
1.86,0.85,2.0,9.56
1.87,0.85,2.0,9.25
1.88,0.85,2.0,8.94
1.89,0.86,2.0,8.62
1.9,0.86,2.0,8.29
1.91,0.86,2.0,7.96
1.92,0.86,2.0,7.63
