x,y,z,yaw
0.0,0.0,2.0,30.26
0.01,0.01,2.0,30.26
0.02,0.01,2.0,30.26
0.03,0.02,2.0,30.26
0.03,0.02,2.0,30.25
0.04,0.03,2.0,30.25
0.05,0.03,2.0,30.25
0.06,0.04,2.0,30.25
0.07,0.04,2.0,30.25
0.08,0.05,2.0,30.25
0.09,0.05,2.0,30.24
0.1,0.06,2.0,30.24
0.1,0.06,2.0,30.24
0.11,0.07,2.0,30.23
0.12,0.07,2.0,30.23
0.13,0.08,2.0,30.23
0.14,0.08,2.0,30.22
0.15,0.09,2.0,30.22
0.16,0.09,2.0,30.21
0.16,0.1,2.0,30.21
0.17,0.1,2.0,30.2
0.18,0.11,2.0,30.2
0.19,0.11,2.0,30.19
0.2,0.12,2.0,30.18
0.21,0.12,2.0,30.18
0.22,0.13,2.0,30.17
0.22,0.13,2.0,30.16
0.23,0.14,2.0,30.16
0.24,0.14,2.0,30.15
0.25,0.15,2.0,30.14
0.26,0.15,2.0,30.13
0.27,0.16,2.0,30.12
0.28,0.16,2.0,30.11
0.29,0.17,2.0,30.11
0.29,0.17,2.0,30.1
0.3,0.18,2.0,30.09
0.31,0.18,2.0,30.08
0.32,0.19,2.0,30.07
0.33,0.19,2.0,30.06
0.34,0.2,2.0,30.05
0.35,0.2,2.0,30.03
0.35,0.21,2.0,30.02
0.36,0.21,2.0,30.01
0.37,0.22,2.0,30.0
0.38,0.22,2.0,29.99
0.39,0.23,2.0,29.97
0.4,0.23,2.0,29.96
0.41,0.24,2.0,29.95
0.42,0.24,2.0,29.94
0.42,0.25,2.0,29.92
0.43,0.25,2.0,29.91
0.44,0.26,2.0,29.89
0.45,0.26,2.0,29.88
0.46,0.27,2.0,29.86
0.47,0.27,2.0,29.85
0.48,0.28,2.0,29.83
0.48,0.28,2.0,29.82
0.49,0.29,2.0,29.8
0.5,0.29,2.0,29.79
0.51,0.3,2.0,29.77
0.52,0.3,2.0,29.75
0.53,0.31,2.0,29.74
0.54,0.31,2.0,29.72
0.55,0.32,2.0,29.7
0.55,0.32,2.0,29.68
0.56,0.33,2.0,29.66
0.57,0.33,2.0,29.65
0.58,0.34,2.0,29.63
0.59,0.34,2.0,29.61
0.6,0.35,2.0,29.59
0.61,0.35,2.0,29.57
0.61,0.36,2.0,29.55
0.62,0.36,2.0,29.53
0.63,0.37,2.0,29.51
0.64,0.37,2.0,29.48
0.65,0.37,2.0,29.46
0.66,0.38,2.0,29.44
0.67,0.38,2.0,29.42
0.68,0.39,2.0,29.4
0.68,0.39,2.0,29.37
0.69,0.4,2.0,29.35
0.7,0.4,2.0,29.33
0.71,0.41,2.0,29.3
0.72,0.41,2.0,29.28
0.73,0.42,2.0,29.26
0.74,0.42,2.0,29.23
0.75,0.43,2.0,29.21
0.75,0.43,2.0,29.18
0.76,0.44,2.0,29.15
0.77,0.44,2.0,29.13
0.78,0.45,2.0,29.1
0.79,0.45,2.0,29.08
0.8,0.46,2.0,29.05
0.81,0.46,2.0,29.02
0.82,0.47,2.0,28.99
0.82,0.47,2.0,28.97
0.83,0.48,2.0,28.94
0.84,0.48,2.0,28.91
0.85,0.49,2.0,28.88
0.86,0.49,2.0,28.85
0.87,0.5,2.0,28.82
0.88,0.5,2.0,28.79
0.89,0.51,2.0,28.76
0.89,0.51,2.0,28.73
0.9,0.52,2.0,28.7
0.91,0.52,2.0,28.67
0.92,0.53,2.0,28.64
0.93,0.53,2.0,28.6
0.94,0.54,2.0,28.57
0.95,0.54,2.0,28.54
0.96,0.54,2.0,28.51
0.96,0.55,2.0,28.47
0.97,0.55,2.0,28.44
0.98,0.56,2.0,28.4
0.99,0.56,2.0,28.37
1.0,0.57,2.0,28.33
1.01,0.57,2.0,28.3
1.02,0.58,2.0,28.26
1.03,0.58,2.0,28.23
1.03,0.59,2.0,28.19
1.04,0.59,2.0,28.15
1.05,0.6,2.0,28.12
1.06,0.6,2.0,28.08
1.07,0.61,2.0,28.04
1.08,0.61,2.0,28.0
1.09,0.62,2.0,27.96
1.1,0.62,2.0,27.92
1.11,0.63,2.0,27.88
1.11,0.63,2.0,27.84
1.12,0.63,2.0,27.8
1.13,0.64,2.0,27.76
1.14,0.64,2.0,27.72
1.15,0.65,2.0,27.68
1.16,0.65,2.0,27.64
1.17,0.66,2.0,27.59
1.18,0.66,2.0,27.55
1.19,0.67,2.0,27.51
1.19,0.67,2.0,27.46
1.2,0.68,2.0,27.42
1.21,0.68,2.0,27.38
1.22,0.69,2.0,27.33
1.23,0.69,2.0,27.29
1.24,0.69,2.0,27.24
1.25,0.7,2.0,27.19
1.26,0.7,2.0,27.15
1.27,0.71,2.0,27.1
1.27,0.71,2.0,27.05
1.28,0.72,2.0,27.0
1.29,0.72,2.0,26.95
1.3,0.73,2.0,26.91
1.31,0.73,2.0,26.86
1.32,0.74,2.0,26.81
1.33,0.74,2.0,26.76
1.34,0.74,2.0,26.7
1.35,0.75,2.0,26.65
1.35,0.75,2.0,26.6
1.36,0.76,2.0,26.55
1.37,0.76,2.0,26.5
1.38,0.77,2.0,26.44
1.39,0.77,2.0,26.39
1.4,0.78,2.0,26.34
1.41,0.78,2.0,26.28
1.42,0.78,2.0,26.23
1.43,0.79,2.0,26.17
1.43,0.79,2.0,26.11
1.44,0.8,2.0,26.06
1.45,0.8,2.0,26.0
1.46,0.81,2.0,25.94
1.47,0.81,2.0,25.88
1.48,0.82,2.0,25.83
1.49,0.82,2.0,25.77
1.5,0.82,2.0,25.71
1.51,0.83,2.0,25.65
1.52,0.83,2.0,25.59
1.52,0.84,2.0,25.52
1.53,0.84,2.0,25.46
1.54,0.85,2.0,25.4
1.55,0.85,2.0,25.34
1.56,0.85,2.0,25.27
1.57,0.86,2.0,25.21
1.58,0.86,2.0,25.15
1.59,0.87,2.0,25.08
1.6,0.87,2.0,25.01
1.61,0.88,2.0,24.95
1.62,0.88,2.0,24.88
1.62,0.88,2.0,24.81
1.63,0.89,2.0,24.75
1.64,0.89,2.0,24.68
1.65,0.9,2.0,24.61
1.66,0.9,2.0,24.54
1.67,0.9,2.0,24.47
1.68,0.91,2.0,24.4
1.69,0.91,2.0,24.32
1.7,0.92,2.0,24.25
1.71,0.92,2.0,24.18
1.72,0.93,2.0,24.11
1.72,0.93,2.0,24.03
1.73,0.93,2.0,23.96
1.74,0.94,2.0,23.88
1.75,0.94,2.0,23.8
1.76,0.95,2.0,23.73
1.77,0.95,2.0,23.65
1.78,0.95,2.0,23.57
1.79,0.96,2.0,23.49
1.8,0.96,2.0,23.41
1.81,0.97,2.0,23.33
1.82,0.97,2.0,23.25
1.83,0.97,2.0,23.17
1.83,0.98,2.0,23.09
1.84,0.98,2.0,23.01
1.85,0.98,2.0,22.92
1.86,0.99,2.0,22.84
1.87,0.99,2.0,22.75
